timestamp = 2016-07-24 17:20:43.018611 ,xAxis = -0.692 ,yAxis = -0.716 ,zAxis = -0.04
timestamp = 2016-07-24 17:20:44.029422 ,xAxis = -0.7 ,yAxis = -0.712 ,zAxis = -0.028
timestamp = 2016-07-24 17:20:45.020312 ,xAxis = -0.724 ,yAxis = -0.692 ,zAxis = -0.04
timestamp = 2016-07-24 17:20:45.021020 ,xAxis = -0.184 ,yAxis = -1.02 ,zAxis = -0.08
timestamp = 2016-07-24 17:20:46.021316 ,xAxis = -0.096 ,yAxis = -1.004 ,zAxis = -0.104
timestamp = 2016-07-24 17:20:47.017831 ,xAxis = 0.224 ,yAxis = -1.136 ,zAxis = -0.168
timestamp = 2016-07-24 17:20:48.022004 ,xAxis = 0.432 ,yAxis = -0.96 ,zAxis = -0.34
timestamp = 2016-07-24 17:20:48.021887 ,xAxis = 0.3 ,yAxis = -0.996 ,zAxis = -0.24
timestamp = 2016-07-24 17:20:49.020685 ,xAxis = 0.28 ,yAxis = -1.0 ,zAxis = -0.244
timestamp = 2016-07-24 17:20:50.019472 ,xAxis = 0.212 ,yAxis = -1.016 ,zAxis = -0.212
timestamp = 2016-07-24 17:20:51.019119 ,xAxis = 0.052 ,yAxis = -1.108 ,zAxis = -0.148
timestamp = 2016-07-24 17:20:51.019032 ,xAxis = -0.128 ,yAxis = -0.988 ,zAxis = -0.112
timestamp = 2016-07-24 17:20:52.019631 ,xAxis = -0.176 ,yAxis = -1.072 ,zAxis = -0.16
timestamp = 2016-07-24 17:20:53.021154 ,xAxis = -0.088 ,yAxis = -1.012 ,zAxis = -0.096
timestamp = 2016-07-24 17:20:54.021207 ,xAxis = -0.052 ,yAxis = -1.0 ,zAxis = -0.08
timestamp = 2016-07-24 17:20:54.020341 ,xAxis = -0.692 ,yAxis = -0.716 ,zAxis = -0.056
timestamp = 2016-07-24 17:20:55.020018 ,xAxis = -0.632 ,yAxis = -0.82 ,zAxis = -0.068
timestamp = 2016-07-24 17:20:56.022135 ,xAxis = -0.5 ,yAxis = -0.88 ,zAxis = 0.032
timestamp = 2016-07-24 17:20:57.025836 ,xAxis = -0.28 ,yAxis = -1.012 ,zAxis = -0.092
timestamp = 2016-07-24 17:20:57.019657 ,xAxis = -0.332 ,yAxis = -0.944 ,zAxis = -0.032
timestamp = 2016-07-24 17:20:58.019609 ,xAxis = -0.332 ,yAxis = -0.916 ,zAxis = -0.052
